 	11
1	01
0	10101
3	0011
2	1000
5	10100
4	0010
7	0000
6	10110
9	10011
8	0001
_	10111000000100
a	10111100
c	10010010
b	1011100010
e	1001010
d	101110111
g	1011111000
f	1011100011
i	1001000
h	100101100
k	10111000001
j	1011100000011
m	100101101
l	10010011
o	10111001
n	10111010
q	101110000000
p	101110110
s	10010111
r	10111111
u	101111101
t	10111101
w	10111110011
v	1011100001
y	101111100101
x	101111100100
z	10111000000101
