 	111
1	110101000010
2	11010100001101
5	11010100001100
6	11010100001111
8	11010100001110
_	11010100000
a	1011
c	10001
b	001110
e	000
d	10000
g	101011
f	001111
i	1100
h	10100
k	1010101
j	110101001
m	01100
l	0010
o	0100
n	0101
q	1101010001
p	00110
s	11011
r	1001
u	01101
t	0111
w	110100
v	1101011
y	1010100
x	110101010
z	110101011
